ID,SKU,Nombre,Slug,Descripción,Descripción Corta,Marca,Categoría ID,Categoría Nombre,Categoría Slug,Subcategoría,Precio Oferta (CLP),Precio Original (CLP),Descuento %,Precio Mayorista 10+ (CLP),Rating (1-5),N° Reseñas,Stock,Vendidos,Disponibilidad,Peso Kg,Certificado SEC,Garantía,Es Oferta Flash,Es B2B,Es Nuevo,Es Destacado,Es BestSeller,Tags,Specs (JSON),Specs Texto,Tier Prices (JSON),Imagen Principal,Imagen Secundaria,URL Producto,Precio Formateado
p011,FUENTE-12V-30A-360W,Fuente Switching 12V 30A 360W IP20 Transformador LED Mean Well,fuente-switching-12v-30a,"Fuente conmutada 110-240V a 12V DC, protección sobrecarga, cortocircuito y sobretensión. Para cintas LED y CCTV.",Fuente 12V 30A 360W Switching IP20,Mean Well LRS,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Transformadores 12V/24V,22990,29990,23,22990,4.8,334,95,890,Stock Medio,1.1,SÍ,2 años,NO,NO,NO,NO,SÍ,"fuente, switching, meanwell","{""Entrada"":""110-240V"",""Salida"":""12V 30A"",""Potencia"":""360W"",""IP"":""IP20""}","Entrada: 110-240V | Salida: 12V 30A | Potencia: 360W | IP: IP20",,https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?w=600&h=600&fit=crop,,/producto/fuente-switching-12v-30a,$22.990
p012,AMP-LED-18W-EMB,Panel LED Embutido 18W 6500K 1200lm Marco Aluminio Pack x6,panel-led-embutido-18w-pack6,"Pack 6 paneles redondos 18W luz fría, driver externo incluido, instalación rápida. Ideal oficinas y locales.",Pack 6x Panel LED 18W 6500K Embutido,StarLight,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Ampolletas & Paneles LED,29990,49990,40,29990,4.7,203,150,560,En Stock,2.4,SÍ,2 años,SÍ,NO,NO,NO,NO,"panel, embutido, oficina","{""Potencia"":""18W c/u"",""Flujo"":""1200 lm"",""Diámetro"":""225mm"",""Vida"":""30.000h""}","Potencia: 18W c/u | Flujo: 1200 lm | Diámetro: 225mm | Vida: 30.000h",,/panel LED Embutido 18W 6500K 1200lm Marco Aluminio Pack x6.png,,/producto/panel-led-embutido-18w-pack6,$29.990
p013,CARG-INT-XTAR-VC4,Cargador Inteligente XTAR VC4 4 Bahías Li-ion/Ni-MH USB Pantalla LCD,cargador-xtar-vc4-4bahias,"Cargador con detección automática, 4 canales independientes, pantalla LCD, compatible 10440 a 32650.",Cargador XTAR VC4 4 bahías LCD USB,XTAR,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Cargadores Inteligentes,19990,,,19990,4.8,98,76,240,Stock Medio,0.3,SÍ,1 año,NO,NO,SÍ,NO,NO,"cargador, xtar, 18650","{""Bahías"":""4"",""Entrada"":""5V 2.1A"",""Baterías"":""Li-ion/Ni-MH"",""Display"":""LCD""}","Bahías: 4 | Entrada: 5V 2.1A | Baterías: Li-ion/Ni-MH | Display: LCD",,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=600&h=600&fit=crop,,/producto/cargador-xtar-vc4-4bahias,$19.990
p014,ARDUINO-UNO-R3-ORIG,Arduino UNO R3 Original + Cable USB + Pack Resistencias & Jumpers,arduino-uno-r3-pack,"Placa original, micro ATmega328P, incluye cable USB y kit iniciación 200 piezas.",Arduino UNO R3 Original + Kit 200pzs,Arduino,electronica-miscelaneos,Electrónica & Misceláneos,electronica-miscelaneos,Protoboard & Arduino,24990,32990,24,24990,4.9,512,180,1450,En Stock,0.5,NO,6 meses,NO,NO,NO,SÍ,SÍ,"arduino, uno, protoboard","{""MCU"":""ATmega328P"",""Voltaje"":""5V"",""Entradas"":""14 digital, 6 analógicas"",""Memoria"":""32KB""}","MCU: ATmega328P | Voltaje: 5V | Entradas: 14 digital, 6 analógicas | Memoria: 32KB",,/Arduino UNO R3 Original Cable USBPack Resistencias & Jumpers.png,,/producto/arduino-uno-r3-pack,$24.990
p015,TAB-EMP-36POLOS-IP65,Tablero Eléctrico Embutido 36 Polos IP65 Transparente Riel DIN,tablero-36-polos-ip65,"Tablero para 36 módulos, puerta transparente, IP65, material ABS ignífugo.",Tablero 36 Polos IP65 Transparente,StarBox,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Tableros & Gabinetes,18990,,,18990,4.6,54,62,180,Stock Medio,1.8,SÍ,1 año,NO,SÍ,NO,NO,NO,"tablero, riel din, ip65","{""Polos"":""36"",""IP"":""IP65"",""Material"":""ABS"",""Puerta"":""Transparente""}","Polos: 36 | IP: IP65 | Material: ABS | Puerta: Transparente",,https://images.unsplash.com/photo-1621905252507-b35492cc74b4?w=600&h=600&fit=crop,,/producto/tablero-36-polos-ip65,$18.990
p016,PIROM-UNI-T-UT300S,Pirómetro Infrarrojo UNI-T UT300S -32 a 400°C Láser Emisividad Aj.,pirometro-uni-t-ut300s,"Termómetro sin contacto con puntero láser, emisividad ajustable, pantalla retroiluminada, auto apagado.",Pirómetro UNI-T UT300S -32~400°C Láser,UNI-T,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Pirómetros Infrarrojos,24990,35990,31,24990,4.5,87,110,320,En Stock,0.4,NO,1 año,SÍ,NO,NO,NO,NO,"pirometro, infrarrojo, temperatura","{""Rango"":""-32~400°C"",""Precisión"":""±1.5%"",""Distancia"":""12:1"",""Láser"":""Sí""}","Rango: -32~400°C | Precisión: ±1.5% | Distancia: 12:1 | Láser: Sí",,https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=600&h=600&fit=crop,,/producto/pirometro-uni-t-ut300s,$24.990
p017,HIGHBAY-UFO-150W-65K,High Bay UFO LED 150W 6500K IP65 21000lm Meanwell + Cadena,high-bay-ufo-150w,"Campana industrial UFO 150W, driver Meanwell HBG, eficiencia 140lm/W, IP65, ideal galpones y bodegas 6-10m altura. Vida 50.000h, certificación SEC.",High Bay UFO 150W 6500K IP65 21.000lm,StarLight Pro,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Iluminación Industrial,59990,89990,33,54990,4.8,94,75,420,Stock Medio,4.1,SÍ,3 años,NO,NO,NO,SÍ,SÍ,"highbay, ufo, industrial","{""Potencia"":""150W"",""Lúmenes"":""21.000 lm"",""IP"":""IP65"",""Driver"":""Meanwell HBG""}","Potencia: 150W | Lúmenes: 21.000 lm | IP: IP65 | Driver: Meanwell HBG","[{""minQty"":1,""maxQty"":5,""price"":59990,""label"":""1-5""},{""minQty"":6,""price"":54990,""label"":""6+ Mayorista""}]",/High Bay UFO LED 150W 6500K IP65 21000lm Meanwell Cadena.png,,/producto/high-bay-ufo-150w,$59.990
p018,TALADRO-20V-13MM-4AH,Taladro Percutor Inalámbrico 20V 13mm Brushless 2x Batería 4Ah + Maletín,taladro-percutor-20v-brushless,"Taladro percutor brushless 60Nm, 2 velocidades, mandril 13mm metálico, 2 baterías 4Ah y cargador rápido. Ideal hormigón y metal.",Taladro 20V 13mm Brushless 2x4Ah,Makita Style,herramientas-maquinarias,Herramientas & Maquinarias,herramientas-maquinarias,Taladros & Atornilladores,129990,179990,28,129990,4.7,156,42,310,Stock Medio,3.8,NO,1 año,NO,NO,NO,SÍ,NO,"taladro, brushless, inalambrico","{""Voltaje"":""20V"",""Torque"":""60Nm"",""Mandril"":""13mm"",""Baterías"":""2x 4Ah""}","Voltaje: 20V | Torque: 60Nm | Mandril: 13mm | Baterías: 2x 4Ah",,/Taladro Percutor Inalambrico 20V 13mm Brushless 2x Bateria 4Ah Maletin.png,,/producto/taladro-percutor-20v-brushless,$129.990
p019,PINZA-UT210E-100A,Pinza Amperimétrica UNI-T UT210E True RMS 100A AC/DC + NCV,pinza-amperimetrica-ut210e,"Mini pinza True RMS 100A AC/DC, mandíbula 17mm, NCV, resistencia y capacímetro. Auto rango, linterna, funda.",Pinza UT210E 100A AC/DC True RMS,UNI-T,instrumentos-medicion,Instrumentos de Medición & Térmicos,instrumentos-medicion,Pinzas Amperimétricas,39990,54990,27,39990,4.9,203,88,560,Stock Medio,0.5,SÍ,1 año,NO,NO,NO,SÍ,SÍ,"pinza, amperimetrica, ut210e","{""Corriente"":""100A AC/DC"",""Apertura"":""17mm"",""TrueRMS"":""Sí"",""NCV"":""Sí""}","Corriente: 100A AC/DC | Apertura: 17mm | TrueRMS: Sí | NCV: Sí",,/Pinza Amperimetrica UNI-T UT210E True RMS 100A ACDC NCV.png,,/producto/pinza-amperimetrica-ut210e,$39.990
p020,ATRAPA-MOSQ-UV-20W-80M2,Lámpara Atrapa Mosquitos UV 20W 80m2 + Bandeja + Cadena Exterior,lampara-atrapa-mosquitos-20w,"Atrapa insectos UV-A 365nm, área 80m2, rejilla electrificada 2000V, bandeja extraíble, IPX4 para terrazas y locales.",Atrapa Mosquitos UV 20W 80m2 IPX4,InsectPro,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Lámparas Atrapa Mosquitos,25990,35990,28,25990,4.6,112,130,480,En Stock,1.4,SÍ,1 año,NO,NO,NO,SÍ,NO,"mosquitos, uv, insectos","{""Potencia"":""20W"",""Área"":""80m2"",""Voltaje"":""2000V"",""IP"":""IPX4""}","Potencia: 20W | Área: 80m2 | Voltaje: 2000V | IP: IPX4",,/Lampara Atrapa Mosquitos UV 20W 80m2 Bandeja Cadena Exterior.png,,/producto/lampara-atrapa-mosquitos-20w,$25.990
p021,CAUTIN-EST-60W-480C,Cautín Estación 60W Temperatura Regulable 200-480°C Punta 900M + Soporte,cautin-estacion-60w,"Estación cautín 60W, control PID, calentamiento 15s, puntas 900M intercambiables, soporte metálico con esponja.",Cautín 60W 200-480°C 900M,Yihua Style,fuentes-poder-soldadura,Fuentes de Poder & Soldadura,fuentes-poder-soldadura,Cautines & Pistolas,18990,26990,30,18990,4.5,87,95,290,Stock Medio,0.9,NO,6 meses,NO,NO,NO,SÍ,NO,"cautin, estacion, soldadura","{""Potencia"":""60W"",""Temp"":""200-480°C"",""Punta"":""900M"",""Calentamiento"":""15s""}","Potencia: 60W | Temp: 200-480°C | Punta: 900M | Calentamiento: 15s",,/Cautin Estacion 60W Temperatura Regulable 200-480C Punta 900M .png,,/producto/cautin-estacion-60w,$18.990
p022,POWERBANK-20K-22W-QC,Power Bank 20000mAh 22.5W QC PD Carga Rápida 2x USB + Type-C + Display,powerbank-20000mah-22w,"Batería externa 20000mAh, PD 20W + QC 22.5W, 3 salidas, display LED, carga simultánea, celdas Li-polymer grado A.",Power Bank 20.000mAh 22.5W QC PD,Baseus Style,pilas-baterias-cargadores,"Pilas, Baterías & Cargadores",pilas-baterias-cargadores,Power Banks & Estaciones,19990,29990,33,19990,4.7,245,210,980,En Stock,0.45,SÍ,1 año,NO,NO,NO,SÍ,NO,"powerbank, qc, pd","{""Capacidad"":""20.000mAh"",""Salida"":""22.5W"",""Puertos"":""3"",""Display"":""LED""}","Capacidad: 20.000mAh | Salida: 22.5W | Puertos: 3 | Display: LED",,/Power Bank 20000mAh 22 5W QC PD Carga Rapida 2x USB Type-C Display.png,,/producto/powerbank-20000mah-22w,$19.990
p023,DOMO-WIFI-3GANG-TOUCH,Kit Domótica WiFi Interruptor Touch 3 Gang + Enchufe Smart 16A Alexa/Google,kit-domotica-wifi-touch,"Kit smart home WiFi 2.4GHz, control por app Tuya/Smart Life, comando voz Alexa/Google, temporizador y escenas. Sin hub.",Kit Domótica WiFi 3 Gang Touch + Enchufe,Tuya Smart,seguridad-control-electrico,Seguridad & Control Eléctrico,seguridad-control-electrico,Domótica & Smart Home,32990,45990,28,32990,4.6,134,68,360,Stock Medio,0.6,SÍ,1 año,NO,NO,NO,SÍ,NO,"domotica, wifi, smart","{""Protocolo"":""WiFi 2.4GHz"",""Voz"":""Alexa/Google"",""App"":""Tuya"",""Carga"":""16A""}","Protocolo: WiFi 2.4GHz | Voz: Alexa/Google | App: Tuya | Carga: 16A",,/Kit Domotica WiFi Interruptor Touch 3 Gang Enchufe Smart 16A AlexaGoogle.png,,/producto/kit-domotica-wifi-touch,$32.990
p024,P024,Panel LED 36W 600x600 4000K Marco Blanco,p024,"Panel LED 36W 600x600 4000K Marco Blanco. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Panel LED 36W 600x600 4000K Marco Blanco,StarLight Pro,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Paneles LED,12990,18990,32,11042,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":12990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":11951,""label"":""5-9 unidades""},{""minQty"":10,""price"":11042,""label"":""10+ unidades (Mayorista)""}]",/Panel LED 36W 600x600 4000K Marco Blanco.png,/Panel LED 36W 600x600 4000K Marco Blanco.png,/producto/p024,$12.990
p025,P025,Ampolleta GU10 LED 7W 3000K Pack x4,p025,"Ampolleta GU10 LED 7W 3000K Pack x4. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Ampolleta GU10 LED 7W 3000K Pack x4,Lumex,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Ampolletas & Paneles LED,6990,9990,30,5942,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,SÍ,,{},,"[{""minQty"":1,""maxQty"":4,""price"":6990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":6431,""label"":""5-9 unidades""},{""minQty"":10,""price"":5942,""label"":""10+ unidades (Mayorista)""}]",/Ampolleta GU10 LED 7W 3000K Pack x4.png,/Ampolleta GU10 LED 7W 3000K Pack x4.png,/producto/p025,$6.990
p026,P026,Driver LED 12V 100W IP67 Ultra Slim,p026,"Driver LED 12V 100W IP67 Ultra Slim. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Driver LED 12V 100W IP67 Ultra Slim,Mean Well,iluminacion-led-neon,Iluminación LED & Neón Flex,iluminacion-led-neon,Drivers & Transformadores,15990,,,13592,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":15990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":14711,""label"":""5-9 unidades""},{""minQty"":10,""price"":13592,""label"":""10+ unidades (Mayorista)""}]",https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&h=600&fit=crop,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=600&h=600&fit=crop,/producto/p026,$15.990
p027,P027,Tubo Germicida UV-C 15W G13 50cm,p027,"Tubo Germicida UV-C 15W G13 50cm. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Tubo Germicida UV-C 15W G13 50cm,Sanilux,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Tubos Germicidas UV-C,11990,16990,29,10192,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,SÍ,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":11990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":11031,""label"":""5-9 unidades""},{""minQty"":10,""price"":10192,""label"":""10+ unidades (Mayorista)""}]",/Tubo Germicida UV-C 15W G13 50cm.png,/Tubo Germicida UV-C 15W G13 50cm.png,/producto/p027,$11.990
p028,P028,Lámpara Atrapa Mosquitos 20W USB,p028,"Lámpara Atrapa Mosquitos 20W USB. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Lámpara Atrapa Mosquitos 20W USB,BugOff,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Lámparas Atrapa Mosquitos,8990,,,7642,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":8990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":8271,""label"":""5-9 unidades""},{""minQty"":10,""price"":7642,""label"":""10+ unidades (Mayorista)""}]",https://images.unsplash.com/photo-1581092160562-40aa08e78837?w=600&h=600&fit=crop,https://images.unsplash.com/photo-1621905252507-b35492cc74b4?w=600&h=600&fit=crop,/producto/p028,$8.990
p029,P029,Lámpara Halógena HMI 575W Fresnel,p029,"Lámpara Halógena HMI 575W Fresnel. Producto de línea Starshop con despacho 24h en RM, despacho a todo Chile y garantía oficial.",Lámpara Halógena HMI 575W Fresnel,StudioLite,tubos-lamparas-especiales,Tubos & Lámparas Especiales,tubos-lamparas-especiales,Halógenas & HMI,28990,,,24642,4.5,60,120,240,En Stock,1,NO,1 año,NO,NO,NO,NO,NO,,{},,"[{""minQty"":1,""maxQty"":4,""price"":28990,""label"":""1-4 unidades""},{""minQty"":5,""maxQty"":9,""price"":26671,""label"":""5-9 unidades""},{""minQty"":10,""price"":24642,""label"":""10+ unidades (Mayorista)""}]",https://images.unsplash.com/photo-1581092580497-e0d23cbdf1dc?w=600&h=600&fit=crop,https://images.unsplash.com/photo-1492684223066-81342ee5ff30?w=600&h=600&fit=crop,/producto/p029,$28.990
